번호,작성자,작성일,댓글,회차,좋아요,대댓글수
1,"선택됨,
홈
탭, 총 3개 중 1번째",15.12.07,김 비서가 왜 그럴까(애장판),전체 88,1518,103
2,바람불다♡♡,15.12.07,"회장님 ᆢㅋㅋ 
그냥 나는 미소 며느리 삼고 싶다 
말씀을 하시지요 ???",김 비서가 왜 그럴까(애장판) 10화,1518,103
3,귤이,15.12.07,동생한테 관심이 쏠리니까 질투하다가 결국 동생에게 벌어진일을 자기한테 벌어진 일로 착각하게 된거같네요 그래서 동생은 형을 경멸하는것 아닐까요?,김 비서가 왜 그럴까(애장판) 26화,1367,37
4,니냐니뇨,15.12.07,"아이고.... 배야.....!!!!ㅋㅋㅋㅋ
웃겨죽겠네.........ㅎㅎㅎㅎ
그동안 보지못했던 캐릭터의 남주네요",김 비서가 왜 그럴까(애장판) 08화,1132,30
5,루얀,15.12.08,원래 내가 내 오빠욕하는건 괜찮지만 남이 내오빠 욕하는꼴은 못봄,김 비서가 왜 그럴까(애장판) 19화,1104,42
6,dgbn,15.12.09,"끼익끼익흔들리는소리, 어린미소는 보면안되는거, 이상하게 커다란거미, 영준이 올려다보는여자, 악몽.. 어렸을때 미소랑 영준은 목메단 여자시체랑 만났던것같군요. 거미란건 천장에서 줄에 매달려있는것에서 연상한 트라우마아닐까 싶습니다..",김 비서가 왜 그럴까(애장판) 13화,1103,73
7,블루노바,15.12.24,미소가 그 얘기에 속지않고 이상한점까지 깨달을수 있을만큼 똑똑해서 다행이네요..추가로 완벽남인 영준과 9년동안 붙어있었던 덕분인지 성연의 유혹에 넘어가지 않은것도요^^,김 비서가 왜 그럴까(애장판) 35화,981,7
8,바람불다♡♡,15.12.08,"유괴는 동생쪽ᆢ 악몽 꾸는 내용이 유괴상황ᆢ
형은 같이 있다 동생이 유괴된곳과는 다른곳을 가르쳐주었음ᆢ 동생을 질투해서
사흘후 발견된 동생에게 관심이 집중되자  또다시 현실도피하여 동생과 자기의 현실을 바꿔서 기억함ᆢ여기서 동생이 형에게 냉담해지는거 같네요",김 비서가 왜 그럴까(애장판) 26화,950,17
9,냥냥,15.12.08,입이 있는데 김비서를 며느리로 삼고 싶다고 왜 말을 못하니,김 비서가 왜 그럴까(애장판) 10화,950,8
10,비키,15.12.08,"김비서가 왜이래가 아니라
사장님이 왜이랜데?
사장님 너 뭐죠?",김 비서가 왜 그럴까(애장판) 08화,950,12
11,블루노바,15.12.24,"최여사님 너무하시네..영준이가 내색안하고 조용히 있다고 해서 조용히 덮으려고 끝까지 미소한테 납치된 사람 성연이라고 거짓말하시네..-_-;
진실은 언젠가 꼭 밝혀지는 것이거늘...",김 비서가 왜 그럴까(애장판) 43화,835,40
