번호,작성자,작성일,댓글,회차,좋아요,대댓글수
1,,,,,0,0
2,"선택됨,
홈
탭, 총 3개 중 1번째",21.02.17,절륜환관,전체 394,71,댓글 달기
3,"선택됨,
홈
탭, 총 3개 중 1번째",,,,0,0
4,,,,,0,0
5,,,,,0,0
6,,,,,0,0
7,,,,,0,0
8,,,,,0,0
9,,,,,0,0
10,....,21.02.17,작가님 전생에 내시였나요??? 이상하게 설득당하네......ㅋㅋㅋㅋㅋ,절륜환관 48화,71,댓글 달기
11,철학자.G,21.02.16,심영이 이 소설을 싫어합니다.,절륜환관 1화,67,14
12,칰킨,21.02.28,"ㅋㅋㅋㅋ웃기고있네. 재밌게 보는 독자가 있고, 여기서 주저리는 그 누구보다 정성스럽게 집필하시는 작가님이 계신데,
알량한 본인 기준에 거슬린다고 글을 다시써라? 편협함이 하늘을 찌르네
비평도 선을 넘지않는 선에서 하는거지",절륜환관 122화,48,4
13,우르산대공,21.02.20,"참 멋있는 일족인데..보기 드문 일족인데...,그리 좋을 수가 없는데...딱 하나! 따악 하나!  말로는 못하겠고..허전하듯이 다만 한개가 부족할 뿐인데......",절륜환관 75화,44,2
14,힐순이,21.02.17,일만 환관이 분노해도 일어설일은 없다ㅠㅠ,절륜환관 32화,37,11
15,란슬롯,21.03.31,"완벽하다
여전히 처녀작인게 믿기지않는 필력
엄청 느린 전개지만 느껴지지않게 만드는 필력",절륜환관 151화,32,2
16,세월은구름처럼,21.03.02,어떤 역적놈이 별테를 하였느냐!!! 구족을 멸할 죄다!,절륜환관 124화,32,8
17,ㅇㅇ,21.02.18,이 고추없는 것들이 왜 자꾸 멋있냐 소름실실,절륜환관 67화,32,2
18,벚꽃지는날,21.02.17,"ㅋㅋㅋ 자고로 면책권과 소원권은 준 사람 입장에선 (줄땐 어땠는진 몰라도) 받은 사람이 음, 나중에 쓸게! 할수록 빨리 좀 써라, 싶은 물건이지ㅋㅋㅋㅋ
하물며 죄졌을땐 무효내기 하면서 간잽이로 눈치보다가 내기 지고서야 그제서야 내기돈 무효라고 슬쩍 내미는거야 짜증이 안날리가ㅋㅋㅋ",절륜환관 35화,32,댓글 달기
19,ㅇㅇ,21.02.19,"소름이 돋는 와중에

팩트) 저 고자는 없는 놈들 일만명을 기만중이다 ㅋㅋㅋ",절륜환관 75화,28,댓글 달기
20,귀차니즘,21.04.14,동창 금의위 최정예 다모이고도 구파일방중 말석인 해남파의 일개검대하나 압도를 못하나요?,절륜환관 163화,27,2
21,min,21.02.17,영락제가 연왕시절에 성인이 되고 남경을 떠나 북평에 주둔할 때 굉장히 큰 계를 만들었습니다. 시간 지나며 이 거대해진 계의 계주였던 연왕이 곗돈을 들고날라서 군자금으로 사용해 남경을 함락하니 그것이 바로 정난의 변.. 그 후로 곗돈을  떼인 계의 회원들이 영락제의 후손들을 노리게 되었죠. 정사입니다.,절륜환관 27화,27,1
22,음흠,21.02.17,ㅋㅋㅋㅋ 시부레 살다살다 회귀한 환관이 색마 부부한테 강간당하기 직전에 흡성대법으로 살아남아 기연을 얻는 장면을 다보네,절륜환관 12화,27,1
23,세월은구름처럼,21.05.09,주고치가 남 줬다고 할때 나도 작가 한대 칠뻔했따,절륜환관 180화,25,4
24,렛서,21.02.18,나중에 동료들이 느끼게될 배신감은 어떻게 해결하려고 이렇게도 깊은 유대를 쌓는거니,절륜환관 78화,25,3
