novel,comment
나 혼자만 레벨업 - 웹소설 | 카카오페이지,아 왜 안 올라와
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"추공을 납치하자......추공을 납치하자......
추공을 납치하자......추공을 납치하자......
추공을 납치하자......추공을 납치하자......
추공을 납치하자......추공을 납치하자......
추공을 납치하자......추공을 납치하자......
추공을 납치하자......추공을 납치하자......
추공을 납치하자......추공을 납치하자...."
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"이  부족한 작가가 200화까지 올 수 있도록 응원해주신 여러분들 정말 감사드립니다. 수요일날 다시 찾아오겠습니다, 고마워요 ㅠㅠ"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,난 ....... 베뎃이 되고싶다 베뎃... 그것은 나의 희망 베뎃..... 그것은 나의 바람.... 항상 이루고 싶은 꿈은 베뎃이다...
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"눈치있는 사람은 산다더니..
저 여자 사회생활S급 능력자군.."
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"Q. 후일담 연재 일정은 어떻게 되나요? 
A. 아직 미정입니다 곧 공지하겠습니다 

Q. 신작은 안 쓰시나요? 
A. 신작은 준비중입니다 후일담은 이벤트성 연재에요!! 

Q. 웹툰과 소설 왜 다른점이 있나요? 
A. 웹툰은 만화 작가님의 권한입니다!! 소설과 만화의 차이점을 찾는 것도 재미가 아닐까요? 

늘 나혼렙을 사랑해주셔서 감사합니다!!"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,베르가점점  고려시대의 장군이되가고있어...
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"""추공님.""
목소리의 주인은 납치협회장이었다.
""그렇지 않아도 연락을 드리려고 했었는데 여기서 뵙는군요.""
""또 납치입니까?""
""추공님이 생각하는 그런 용무 아닙니다.""
""아.예.""
""긴 얘기도 아닙니다.""
추공은 고개를 끄덕였다.
""혹시 나혼렙에 마약같은걸 넣습니까?""
""?""
""당신이 휴재하니 금단증상이 오더군요..."""
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"제가 생각해봤는데 연참을 하려는 노력으로 매주 1, 2회 있었던 무단 휴재를 없애고 있으니 이것이야 말로 진정한 의미의 연참, 즉 끊기지 않는 연재 아니겠습니까? (뻔뻔)"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"이런 일상물 계속 하시면









사랑합니다♡"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,와 씨 잘려고 하다가 알람뜨길레 내가 환각보는줄 알았는데 아니었네
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"미국정부 : 성진우는 내꺼다
일본정부 : 헛소리! 성진우는!!
다른나라정부 : 성진우 우리껍니다
한국정부 : 아무도 안줄겁니다.
추공 : 다 필요없고 꺼지시죠
          성진우 주인공 버프 누가 준줄 아세요?"
